iter	Logloss	Accuracy:use_weights=true	Accuracy:use_weights=false
104	0.6363168268	0.6409597273	0.6804885181
105	0.6362630352	0.6410583984	0.6796422121
106	0.636222174	0.6410554263	0.6795596457
107	0.6362135551	0.6410939635	0.6795974886
108	0.6362027682	0.6410928738	0.6796215705
109	0.6361620216	0.6410954495	0.6796387718
110	0.6361413677	0.6410683051	0.6785585276
111	0.6361324039	0.6410542376	0.6785482068
112	0.6360529196	0.6412009562	0.6806674121
113	0.6360372754	0.6411795576	0.6806708523
114	0.6360037408	0.6411552861	0.6805401221
115	0.6359649556	0.6412687182	0.6807018147
116	0.6359464308	0.6411589517	0.6786307732
117	0.6359336447	0.6411067432	0.6786479745
118	0.635926375	0.6411176406	0.678678937
119	0.635901492	0.6411562769	0.6786651759
120	0.6358908053	0.6411162537	0.6796731745
121	0.6358764886	0.641149144	0.6796628537
122	0.6358687995	0.6412295866	0.6798864711
123	0.6358457204	0.6412601984	0.6788887933
124	0.6358162856	0.641316964	0.6789438376
125	0.6358023209	0.6412264165	0.6799071128
126	0.6357454987	0.6415182687	0.6806226886
127	0.6357275019	0.641537785	0.6807843812
128	0.635712997	0.6415533385	0.6808359852
129	0.6356849945	0.6415751333	0.68089791
130	0.6356478747	0.6416080237	0.6808875892
131	0.6356377812	0.6415768175	0.6808359852
132	0.6356000755	0.6417228426	0.6816857315
133	0.6355805346	0.6416677612	0.6815687624
134	0.6355723331	0.6416628079	0.6814311516
135	0.6355503953	0.6417139266	0.6814380322
136	0.6355393878	0.6417682155	0.6814242711
137	0.6355213802	0.6418166594	0.6806502107
138	0.6355095114	0.6417591013	0.6804644362
139	0.6354949039	0.6417888215	0.680474757
140	0.6354757479	0.6418018984	0.6804575557
141	0.6354575935	0.6418034835	0.6804472349
142	0.635448142	0.6418055639	0.6804506752
143	0.6354138584	0.6419045321	0.6813520255
144	0.6354016142	0.6418273587	0.6805126
145	0.6353729992	0.6419164201	0.6816822912
146	0.6353537659	0.6419022535	0.6817235744
147	0.6353297621	0.6419340541	0.6817373355
148	0.6353124818	0.6419752661	0.6817407758
149	0.6352931863	0.6419929001	0.6817958201
150	0.6352840172	0.6420111285	0.6818130214
151	0.6352589426	0.6420915711	0.6806777329
152	0.6352395681	0.6421275326	0.6806983745
153	0.6352097112	0.6421522994	0.6805710845
154	0.6351930407	0.6420938497	0.6803061839
155	0.635169576	0.642041344	0.6804781973
156	0.6351676739	0.642041344	0.6804781973
157	0.6351520531	0.6420483778	0.6806192483
158	0.63511885	0.6420912739	0.6805607637
159	0.6350905233	0.6421579462	0.6806192483
160	0.635078837	0.642162008	0.6809495141
